league,season,team,player,league_id,season,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,source,player_std
ENG-Premier League,1920,Arsenal,Sokratis,1,2019,83,371,D,19,1698,2,1.4505057297647,2,1.4505057297647,0,0.7529760003089905,7,2,6,0,4.342150938697159,4.342150938697159,understat,sokratis
ENG-Premier League,1920,Aston Villa,Ahmed Elmohamady,1,2019,71,1685,D M S,18,1007,1,0.19573410134762526,1,0.19573410134762526,1,2.220943322405219,5,22,1,0,3.627543732523918,2.725653551518917,understat,ahmed elmohamady
ENG-Premier League,1920,Aston Villa,Anwar El Ghazi,1,2019,71,5612,F M S,34,2082,4,6.381359378807247,3,5.62019136082381,4,2.877202283591032,53,30,3,0,8.016559479758143,2.2102830801159143,understat,anwar el ghazi
ENG-Premier League,1920,Aston Villa,Björn Engels,1,2019,71,7152,D S,17,1447,1,0.7842207811772823,1,0.7842207811772823,0,0.14336230233311653,8,2,1,0,3.8012201180681586,3.748133114539087,understat,bjorn engels
ENG-Premier League,1920,Aston Villa,Borja Bastón,1,2019,71,1701,S,2,9,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,understat,borja bastón
ENG-Premier League,1920,Aston Villa,Conor Hourihane,1,2019,71,7721,M S,27,1549,3,1.62833839841187,3,1.62833839841187,5,5.731440666131675,29,38,4,0,6.0079372227191925,3.157471826300025,understat,conor hourihane
ENG-Premier League,1920,Aston Villa,Daniel Drinkwater,1,2019,71,752,M,5,331,0,0.09826850146055222,0,0.09826850146055222,0,0.0402861014008522,2,1,1,0,0.8360581956803799,0.7377896942198277,understat,daniel drinkwater
ENG-Premier League,1920,Aston Villa,Douglas Luiz,1,2019,71,6122,M S,36,2602,3,2.2777960058301687,3,2.2777960058301687,2,2.0041150031611323,38,17,8,0,5.5698155630379915,3.396518010646105,understat,douglas luiz
ENG-Premier League,1920,Aston Villa,Ezri Konsa Ngoyo,1,2019,71,7726,D S,25,2054,1,1.669818784110248,1,1.669818784110248,2,0.8850580882281065,11,11,3,0,2.9527189023792744,2.5491498187184334,understat,ezri konsa ngoyo
ENG-Premier League,1920,Aston Villa,Frederic Guilbert,1,2019,71,3253,D S,25,2045,0,0.41759660467505455,0,0.41759660467505455,2,1.3897649087011814,8,13,6,0,4.420984271913767,3.741675427183509,understat,frederic guilbert
ENG-Premier League,1920,Aston Villa,Henri Lansbury,1,2019,71,7727,M S,10,186,0,0.05322900041937828,0,0.05322900041937828,0,0.06579379737377167,2,2,0,0,0.46182478964328766,0.36103498935699463,understat,henri lansbury
ENG-Premier League,1920,Aston Villa,Indiana Vassilev,1,2019,71,8254,S,4,35,0,0.032814398407936096,0,0.032814398407936096,0,0.0,1,0,0,0,0.032814398407936096,0.0,understat,indiana vassilev
ENG-Premier League,1920,Aston Villa,Jack Grealish,1,2019,71,675,F M,36,3235,8,6.844703515991569,8,6.083534499630332,6,7.637995069846511,73,92,8,0,18.373635333031416,9.304545175284147,understat,jack grealish
ENG-Premier League,1920,Aston Villa,Jed Steer,1,2019,71,4475,GK,1,7,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,understat,jed steer
ENG-Premier League,1920,Aston Villa,John McGinn,1,2019,71,7723,M S,28,2323,3,3.9825734980404377,3,3.9825734980404377,3,2.617758873850107,55,37,3,0,9.97086264193058,5.289587929844856,understat,john mcginn
ENG-Premier League,1920,Aston Villa,Jonathan Kodjia,1,2019,71,7725,S,6,96,0,0.15865400433540344,0,0.15865400433540344,0,0.08237359672784805,2,1,1,0,0.32795220240950584,0.08692469820380211,understat,jonathan kodjia
ENG-Premier League,1920,Aston Villa,José Reina,1,2019,71,1374,GK,12,1080,0,0.0,0,0.0,0,0.039028100669384,0,1,1,0,1.7092243134975433,1.7092243134975433,understat,josé reina
ENG-Premier League,1920,Aston Villa,Jota,1,2019,71,2132,F M S,10,328,0,0.2638003006577492,0,0.2638003006577492,1,0.5682310946285725,6,4,0,0,1.558620523661375,0.849068209528923,understat,jota
ENG-Premier League,1920,Aston Villa,Keinan Davis,1,2019,71,1053,F S,18,514,0,1.985923521220684,0,1.985923521220684,0,0.18036619946360588,17,6,0,0,2.6382866194471717,1.3067813031375408,understat,keinan davis
ENG-Premier League,1920,Aston Villa,Kortney Hause,1,2019,71,6859,D S,18,1541,1,2.8237650701776147,1,2.8237650701776147,0,0.4907599985599518,20,2,3,0,1.7359597831964493,1.7359597831964493,understat,kortney hause
ENG-Premier League,1920,Aston Villa,Marvelous Nakamba,1,2019,71,8040,M S,29,1836,0,0.13154470175504684,0,0.13154470175504684,0,0.5477455705404282,7,12,5,0,4.796767007559538,4.29724601842463,understat,marvelous nakamba
ENG-Premier League,1920,Aston Villa,Matt Targett,1,2019,71,884,D S,28,2305,1,0.3935442939400673,1,0.3935442939400673,2,3.299923975020647,7,29,4,0,7.988197173923254,6.494184646755457,understat,matt targett
ENG-Premier League,1920,Aston Villa,Mbwana Samatta,1,2019,71,8287,F S,14,962,1,2.5278822369873524,1,2.5278822369873524,0,0.3115765042603016,17,9,1,0,3.418448619544506,1.3475396949797869,understat,mbwana samatta
ENG-Premier League,1920,Aston Villa,Neil Taylor,1,2019,71,710,D S,14,1085,0,0.12685370072722435,0,0.12685370072722435,0,0.470634289085865,3,5,2,0,2.8881289437413216,2.387243937700987,understat,neil taylor
ENG-Premier League,1920,Aston Villa,Tom Heaton,1,2019,71,1651,GK,20,1797,0,0.0,0,0.0,0,0.0,0,0,0,0,2.095073110423982,2.095073110423982,understat,tom heaton
ENG-Premier League,1920,Aston Villa,Trézéguet,1,2019,71,7722,F M S,34,1955,6,5.345048896037042,6,5.345048896037042,1,0.958256809040904,50,21,2,1,6.641214028932154,2.6114307940006256,understat,trézéguet
ENG-Premier League,1920,Aston Villa,Tyrone Mings,1,2019,71,1024,D,33,2902,2,0.9166155084967613,2,0.9166155084967613,2,0.5713249817490578,8,7,7,0,5.111489251255989,5.068002752959728,understat,tyrone mings
ENG-Premier League,1920,Aston Villa,Wesley,1,2019,71,7724,F,21,1806,5,7.270562741905451,5,6.509392712265253,1,0.8836157005280256,36,11,3,0,8.007937798276544,2.6747633749619126,understat,wesley
ENG-Premier League,1920,Aston Villa,Ørjan Nyland,1,2019,71,250,GK S,7,536,0,0.0,0,0.0,0,0.0,0,0,0,0,0.19450700096786022,0.19450700096786022,understat,ørjan nyland
ENG-Premier League,1920,Bournemouth,Aaron Ramsdale,1,2019,73,5603,GK,37,3330,0,0.0,0,0.0,1,0.5314233005046844,0,2,0,0,2.1673740642145276,1.6359507637098432,understat,aaron ramsdale
ENG-Premier League,1920,Bournemouth,Adam Smith,1,2019,73,825,D,24,2078,0,0.6926139984279871,0,0.6926139984279871,1,1.273223688825965,4,10,7,0,5.350808300077915,4.599227916449308,understat,adam smith
ENG-Premier League,1920,Bournemouth,Andrew Surman,1,2019,73,460,M S,5,230,0,0.027736099436879158,0,0.027736099436879158,0,0.048970598727464676,1,1,1,0,0.9394945111125708,0.8905235137790442,understat,andrew surman
ENG-Premier League,1920,Bournemouth,Arnaut Danjuma Groeneveld,1,2019,73,8066,M S,14,614,0,1.048506997525692,0,1.048506997525692,0,0.16391029953956604,13,5,0,0,1.204533277079463,0.26908320374786854,understat,arnaut danjuma groeneveld
ENG-Premier League,1920,Bournemouth,Callum Wilson,1,2019,73,468,F S,35,2916,8,9.842872485518456,8,9.842872485518456,1,3.349535880610347,53,30,10,0,12.562954794615507,2.707835785113275,understat,callum wilson
