league_name,season_id,team_id,player_id,position,matches,minutes,goals,assists,xg,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,source
ENG-Premier League,2019,83,1750,D S,20,1372,0,2,0.5084082968533039,1.6460967063903809,4,11,4,1,5.15650237724185,3.5671484656631947,understat
ENG-Premier League,2019,83,3277,F S,30,1890,10,4,8.664644362404943,3.342292783781886,52,24,8,0,12.061309602111578,2.5056339018046856,understat
ENG-Premier League,2019,83,181,GK,30,2649,0,0,0.0,0.0,0,0,2,0,4.038203942589462,4.038203942589462,understat
ENG-Premier League,2019,83,7322,D F M S,26,1769,1,5,1.1424380782991648,3.680352535098791,13,21,6,0,7.812512021511793,5.022922188043594,understat
ENG-Premier League,2019,83,508,D S,14,1102,1,1,0.6329499976709485,2.2414444722235203,12,7,5,0,4.406147539615631,3.21046981215477,understat
ENG-Premier League,2019,83,847,D S,21,1567,1,1,0.6565496101975441,0.829959399998188,10,12,1,0,3.0438965931534767,1.997347492724657,understat
ENG-Premier League,2019,83,2446,M S,24,1722,0,2,0.47007399424910545,1.5761437863111496,13,28,1,0,8.6631198246032,7.352911818772554,understat
ENG-Premier League,2019,83,1676,D S,33,2818,2,1,1.560154115781188,0.7974876035004854,23,4,5,2,9.724230770021677,8.911327958106995,understat
ENG-Premier League,2019,83,6482,F S,13,629,2,0,3.4787297137081623,0.631174492649734,15,5,0,1,4.134649693965912,0.5784084871411324,understat
ENG-Premier League,2019,83,7230,M S,2,96,0,0,0.0,0.0,0,0,0,0,0.0,0.0,understat
ENG-Premier League,2019,83,4401,GK S,9,771,0,0,0.0,0.0,0,0,2,0,0.9078709222376347,0.9078709222376347,understat
ENG-Premier League,2019,83,7752,M S,14,643,3,0,2.2424831092357635,0.11354190111160278,12,2,1,0,2.9959328081458807,0.639907518401742,understat
ENG-Premier League,2019,83,204,M S,31,2598,1,2,0.5712299924343824,0.972196189686656,11,16,10,0,12.973864022642374,12.263061579316854,understat
ENG-Premier League,2019,83,317,M S,3,109,0,0,0.4295176938176155,0.27430200576782227,2,2,1,0,0.8670729994773865,0.2900702953338623,understat
ENG-Premier League,2019,83,492,D M S,15,1164,1,0,0.43250470235943794,0.449982613325119,7,3,2,0,4.190358854830265,3.453752614557743,understat
ENG-Premier League,2019,83,6630,M S,29,819,1,1,2.320996392518282,1.0468105915933847,15,12,2,0,5.5602357145398855,3.183693516999483,understat
ENG-Premier League,2019,83,8089,D M S,15,996,1,1,0.22836239449679852,0.7536174207925797,6,6,2,0,2.8807710334658623,2.309806341305375,understat
ENG-Premier League,2019,83,1227,M S,29,1496,1,1,1.4572498127818108,0.8258084943518043,21,13,7,0,6.481221791356802,4.913524277508259,understat
ENG-Premier League,2019,83,5759,M S,24,1744,0,1,0.5298995021730661,1.0633035972714424,11,12,6,0,6.531604591757059,5.212481122463942,understat
ENG-Premier League,2019,83,499,M,18,1472,1,2,1.708274181932211,2.2874074801802635,9,37,1,0,8.399060912430286,6.210026806220412,understat
ENG-Premier League,2019,83,495,D,3,270,0,0,0.043980300426483154,0.4594329968094826,1,3,0,0,0.6670902036130428,0.5824291966855526,understat
ENG-Premier League,2019,83,5656,F M S,31,2021,5,5,5.069304745644331,4.904218332841992,50,39,4,0,10.924232121556997,4.814494911581278,understat
ENG-Premier League,2019,83,8380,D,2,113,0,0,0.0,0.0,0,0,0,0,0.5135990083217621,0.5135990083217621,understat
ENG-Premier League,2019,83,318,F M S,36,3143,22,3,16.352621614933014,4.492486532777548,93,26,3,1,19.964279878884554,5.339654562994838,understat
ENG-Premier League,2019,83,6492,F M S,17,621,1,0,1.2735872119665146,0.3629353968426585,11,9,1,0,1.9280117973685265,0.7598887234926224,understat
ENG-Premier League,2019,83,1749,D S,8,576,0,0,0.10935600101947784,0.0,2,0,1,0,0.4436413124203682,0.4436413124203682,understat
ENG-Premier League,2019,83,342,D M S,26,1687,0,2,0.2549881963059306,1.334304090589285,4,10,4,0,8.02809800952673,7.041230961680412,understat
ENG-Premier League,2019,83,1699,D S,15,1208,0,1,0.5680257026106119,0.5758727826178074,11,3,2,0,4.499943673610687,3.9672136902809143,understat
ENG-Premier League,2019,83,371,D,19,1698,2,0,1.4505057297647,0.7529760003089905,7,2,6,0,4.342150938697159,4.342150938697159,understat
ENG-Premier League,2019,71,1685,D M S,18,1007,1,1,0.19573410134762526,2.220943322405219,5,22,1,0,3.627543732523918,2.725653551518917,understat
ENG-Premier League,2019,71,5612,F M S,34,2082,4,4,6.381359378807247,2.877202283591032,53,30,3,0,8.016559479758143,2.2102830801159143,understat
ENG-Premier League,2019,71,7152,D S,17,1447,1,0,0.7842207811772823,0.14336230233311653,8,2,1,0,3.8012201180681586,3.748133114539087,understat
ENG-Premier League,2019,71,1701,S,2,9,0,0,0.0,0.0,0,0,0,0,0.0,0.0,understat
ENG-Premier League,2019,71,7721,M S,27,1549,3,5,1.62833839841187,5.731440666131675,29,38,4,0,6.0079372227191925,3.157471826300025,understat
ENG-Premier League,2019,71,752,M,5,331,0,0,0.09826850146055222,0.0402861014008522,2,1,1,0,0.8360581956803799,0.7377896942198277,understat
ENG-Premier League,2019,71,6122,M S,36,2602,3,2,2.2777960058301687,2.0041150031611323,38,17,8,0,5.5698155630379915,3.396518010646105,understat
ENG-Premier League,2019,71,7726,D S,25,2054,1,2,1.669818784110248,0.8850580882281065,11,11,3,0,2.9527189023792744,2.5491498187184334,understat
ENG-Premier League,2019,71,3253,D S,25,2045,0,2,0.41759660467505455,1.3897649087011814,8,13,6,0,4.420984271913767,3.741675427183509,understat
ENG-Premier League,2019,71,7727,M S,10,186,0,0,0.05322900041937828,0.06579379737377167,2,2,0,0,0.46182478964328766,0.36103498935699463,understat
ENG-Premier League,2019,71,8254,S,4,35,0,0,0.032814398407936096,0.0,1,0,0,0,0.032814398407936096,0.0,understat
ENG-Premier League,2019,71,675,F M,36,3235,8,6,6.844703515991569,7.637995069846511,73,92,8,0,18.373635333031416,9.304545175284147,understat
ENG-Premier League,2019,71,4475,GK,1,7,0,0,0.0,0.0,0,0,0,0,0.0,0.0,understat
ENG-Premier League,2019,71,7723,M S,28,2323,3,3,3.9825734980404377,2.617758873850107,55,37,3,0,9.97086264193058,5.289587929844856,understat
ENG-Premier League,2019,71,7725,S,6,96,0,0,0.15865400433540344,0.08237359672784805,2,1,1,0,0.32795220240950584,0.08692469820380211,understat
ENG-Premier League,2019,71,1374,GK,12,1080,0,0,0.0,0.039028100669384,0,1,1,0,1.7092243134975433,1.7092243134975433,understat
ENG-Premier League,2019,71,2132,F M S,10,328,0,1,0.2638003006577492,0.5682310946285725,6,4,0,0,1.558620523661375,0.849068209528923,understat
ENG-Premier League,2019,71,1053,F S,18,514,0,0,1.985923521220684,0.18036619946360588,17,6,0,0,2.6382866194471717,1.3067813031375408,understat
ENG-Premier League,2019,71,6859,D S,18,1541,1,0,2.8237650701776147,0.4907599985599518,20,2,3,0,1.7359597831964493,1.7359597831964493,understat
ENG-Premier League,2019,71,8040,M S,29,1836,0,0,0.13154470175504684,0.5477455705404282,7,12,5,0,4.796767007559538,4.29724601842463,understat
ENG-Premier League,2019,71,884,D S,28,2305,1,2,0.3935442939400673,3.299923975020647,7,29,4,0,7.988197173923254,6.494184646755457,understat
ENG-Premier League,2019,71,8287,F S,14,962,1,0,2.5278822369873524,0.3115765042603016,17,9,1,0,3.418448619544506,1.3475396949797869,understat
